,name,height,sample
152,"al-Jamal, Fateena",172.4880973,4
153,"Daniels-Hill, Kyree",180.1937232,4
154,"Park, Frances",167.6220376,4
155,"Garcia, Jacob",172.6088,4
156,"Lindgren, Chase",178.8106533,4
157,"Coleman, Brianni",170.8268946,4
158,"el-Amer, Yaasmeen",166.733086,4
159,"Maldonado, Isrrael",167.651082,4
160,"Hunsaker, Abigail",170.0493649,4
161,"Reavis, Ivan",167.7632496,4
162,"Alvarez, Brandy",170.696803,4
163,"Kouskoutis, Chase",169.9279015,4
164,"Lopez, Kayla",171.084746,4
165,"Roberts, Chance",174.0352805,4
166,"Paul, Kelsey",175.1231656,4
167,"al-Sattar, Munisa",180.3910287,4
168,"Rodenburg, Colette",171.6565317,4
169,"Martin, Leda",170.3958004,4
170,"Unruh, Jordan",179.3550286,4
171,"Meeker, Mariah",180.521647,4
172,"Freyta, Sonja",172.2162202,4
173,"Isaac Jackson, Mahogany",170.3367134,4
174,"Kemp, Quinton",162.8888229,4
175,"Sagapolu, Brittney",179.056312,4
176,"Sosa, Sierra",167.8120878,4
177,"Bernstine, Trevon",166.381186,4
178,"Song, Ilheum",187.2188294,4
179,"Valadez-Galvan, Jazmine",173.1751065,4
180,"Nere, Ahmed",171.8337069,4
181,"Baumeister, Cristina",158.3389024,4
182,"al-Kamel, Rafeeq",171.5010471,4
183,"al-Ali, Saahir",176.8801587,4
184,"Yeager, Marquez",174.0693446,4
185,"Punjabi, Joshua",176.5616108,4
186,"Inouye, Charell",181.918661,4
187,"Burton, Jasmine",177.8455426,4
188,"Varanai, Darwyn",169.4563149,4
189,"Chikuma, Miah",175.5209009,4
190,"Delgado, Jesus",171.0079186,4
191,"Martinez, Jasmine",169.3096461,4
192,"Costa, Manuel",157.7212067,4
193,"Thrush, Teddi",168.0517657,4
194,"Agustin, Allyson",174.4390732,4
195,"Avena Chavez, Adina",182.8401627,4
196,"Brauher, Austin",174.5034731,4
197,"Kaler, Skyla",175.101051,4
198,"al-Vaziri, Nadeera",167.1704839,4
199,"Steppan, Jonathan",172.8132735,4
200,"Davis, Jordan",161.6088123,4
201,"Bradshaw, Caleb",174.4261341,5
202,"Gonzales, Tierra",175.4838439,5
203,"Lipps, Katelyn",172.9275696,5
204,"Herndon, Dante",175.5036676,5
205,"Allen, Jacob",173.5584051,5
206,"Romley, Danielle",175.8023118,5
207,"Ewton, Shahzad",181.2123181,5
208,"Morales, Michael",177.5618142,5
209,"Beaulieu, Desiree",172.1633198,5
210,"Salley, Michael",166.4277552,5
211,"Paine, Abigail",174.0902891,5
212,"Palmer, Terrance",169.9988238,5
213,"Kim, Josephine",179.4674655,5
214,"el-Attar, Naseera",163.9645953,5
215,"Needham, Roman",169.9212411,5
216,"el-Aboud, Azhaar",174.1100419,5
217,"Lanning, Daylon",171.2413173,5
218,"Suh, Zoe",168.9692444,5
219,"Uhrich, Paul",170.4763947,5
220,"Coreau, Devin",175.1476805,5
221,"Nguyen, Aren",176.4758599,5
222,"Malcolm, Daniel",175.3010632,5
223,"Coriz, Christopher",183.3674176,5
224,"Eirwin, Ryan",177.8674879,5
225,"Harrison, Blake",173.4385486,5
226,"Atkins, Tiffany",168.7011495,5
227,"Lain, Jonathan",186.5957007,5
228,"Arnold, David",175.3870775,5
229,"Nunn, Mehdi",168.5783983,5
230,"Trimble, Sheridan",172.9324604,5
231,"el-Mohammadi, Shukri",170.3780335,5
232,"Dehaven, Dalida",170.6264789,5
233,"Dinhvu, Wendy",167.3324833,5
234,"Mckinney, Karie",172.5842267,5
235,"Tidball, Javier",173.5958012,5
236,"Kim, Annie",166.6122894,5
237,"el-Shahid, Najlaa",155.8342393,5
238,"Nguyen, Dylan",170.7256267,5
239,"Voon, Mandy",172.1475892,5
240,"al-Madani, Madeeha",174.9713689,5
241,"Howey, Braedon",172.2956758,5
242,"Swaw, Marisol",174.0669945,5
243,"Medicine Bear, Alison",166.5111391,5
244,"el-Ayoub, Faheem",175.5558763,5
245,"Flores, Fermin",175.5944436,5
246,"Owens, Carrie",173.2582553,5
247,"Ngo, Michelle",178.7863722,5
248,"Ament, Danielle",174.0223424,5
249,"Nghiem, Kuliana",173.3218213,5
250,"Marron, Miriam",173.3402195,5
251,"Tran, Jennifer",174.1846529,6
252,"Werkele, Cierra",177.3006195,6
253,"Camper, Kaitlin",174.260952,6
254,"Gonzalez, Aaron",175.3159931,6
255,"Johnson, Robyn",166.3181322,6
256,"Oldham, Joyce Ann",170.1475124,6
257,"Chapman, Jason",179.3848479,6
258,"Montez, Ryan",165.8804812,6
259,"Dalke, Raeven",173.2903419,6
260,"Maclellan, Danielle",174.025014,6
261,"Do, Bryan",176.8790166,6
262,"el-Rad, Humaid",170.2556163,6
263,"Rudolph, Levi",172.7931272,6
264,"Colten, Taylor",163.1837247,6
265,"Aguilar, Zachary",173.6929802,6
266,"Pool, Samantha",168.6671749,6
267,"Easterlin, Isaiah",170.8067669,6
268,"Carter, Alisha",166.0611736,6
269,"Sheedy, Kenneth",173.9246766,6
270,"Cotton, Ashley",175.3328976,6
271,"Trinh, Jenni",170.4769306,6
272,"Schoenfeld, Alexandra",181.1250553,6
273,"Medina, Mareena",175.3527969,6
274,"Kalagiri, Elvin",176.7431629,6
275,"el-Masih, Shaimaaa",182.247015,6
276,"el-Abbas, Hamdaan",168.744432,6
277,"Waddles, Ian",176.0430964,6
278,"Fitts, Bruce",176.9329031,6
279,"Olsen, Akosua",171.969146,6
280,"Miller, Desiree",173.5952618,6
281,"Sward, Diana",166.9408905,6
282,"Nguyen, Andrew",174.3508377,6
283,"Miller, Dylan",168.4951483,6
284,"al-Akhtar, Sukaina",176.0684143,6
285,"Gonzales, Veronica",167.9428461,6
286,"Liquete, Siran",173.5969874,6
287,"Palamarchuk, Jonathan",167.7673867,6
288,"Camacho, Donald",170.7711841,6
289,"Hernandez, Miguel",164.2357049,6
290,"Rodriguez, Salvador",172.6421702,6
291,"Le, Tika",176.9272169,6
292,"Gonzalez, Danielle",172.9162376,6
293,"Shivers, Imani",163.1688539,6
294,"Valenzuela, Erick",168.8973315,6
295,"Guzman, Nicholas",180.2802152,6
296,"Moua, Phung",181.0490269,6
297,"Lee, Eliza",166.1248162,6
298,"Lucero, Mallory",170.1664837,6
299,"Lor, Michelle",173.7681272,6
300,"Hoang, Robyn",173.5957811,6
